Date,Price,Open,High,Low,Vol.,Change %
12/24/2012,3652.61,3662.95,3670.52,3649.89,20.91M,-0.24%
12/21/2012,3661.40,3650.25,3667.02,3637.89,274.26M,-0.15%
12/20/2012,3666.73,3652.41,3674.57,3652.08,156.37M,0.06%
12/19/2012,3664.59,3661.63,3670.20,3650.50,155.86M,0.44%
12/18/2012,3648.63,3650.25,3656.47,3631.61,189.10M,0.29%
12/17/2012,3638.10,3633.17,3639.87,3611.12,136.65M,-0.14%
12/14/2012,3643.28,3643.70,3652.96,3631.88,182.94M,0.00%
12/13/2012,3643.13,3654.22,3659.10,3633.35,105.85M,-0.10%
12/12/2012,3646.66,3646.42,3652.04,3636.02,101.24M,0.01%
12/11/2012,3646.15,3618.97,3648.93,3609.00,116.76M,0.94%
12/10/2012,3612.10,3587.32,3614.46,3575.53,106.22M,0.18%
12/07/2012,3605.61,3606.76,3622.36,3590.12,120.63M,0.11%
12/06/2012,3601.65,3598.13,3621.45,3585.33,157.77M,0.31%
12/05/2012,3590.50,3602.21,3607.10,3575.10,126.95M,0.28%
12/04/2012,3580.48,3563.03,3596.90,3563.02,148.54M,0.39%
12/03/2012,3566.59,3567.90,3603.05,3563.29,122.98M,0.26%
11/30/2012,3557.28,3568.05,3584.73,3557.28,261.40M,-0.33%
11/29/2012,3568.88,3536.80,3568.94,3532.77,136.95M,1.53%
11/28/2012,3515.19,3489.53,3519.72,3479.16,111.93M,0.37%
11/27/2012,3502.13,3521.17,3530.79,3491.06,118.89M,0.03%
11/26/2012,3500.94,3513.94,3522.02,3494.27,107.46M,-0.79%
11/23/2012,3528.80,3505.35,3528.80,3481.65,187.97M,0.87%
11/22/2012,3498.22,3489.08,3499.62,3480.99,125.24M,0.60%
11/21/2012,3477.36,3454.01,3483.99,3444.55,106.64M,0.44%
11/20/2012,3462.06,3424.71,3463.77,3415.66,108.35M,0.65%
11/19/2012,3439.58,3375.42,3444.09,3369.53,124.61M,2.93%
11/16/2012,3341.52,3379.52,3392.53,3341.52,164.49M,-1.21%
11/15/2012,3382.40,3379.32,3400.52,3374.47,137.89M,-0.52%
11/14/2012,3400.02,3424.68,3436.26,3394.73,142.42M,-0.89%
11/13/2012,3430.60,3391.57,3434.27,3374.10,134.34M,0.56%
11/12/2012,3411.65,3424.55,3428.50,3403.97,105.32M,-0.35%
11/09/2012,3423.57,3410.98,3432.94,3374.08,196.47M,0.47%
11/08/2012,3407.68,3433.80,3440.77,3400.24,194.51M,-0.06%
11/07/2012,3409.59,3513.42,3515.87,3409.59,186.74M,-1.99%
11/06/2012,3478.66,3455.83,3480.50,3446.71,100.14M,0.87%
11/05/2012,3448.50,3469.90,3473.57,3448.50,103.70M,-1.26%
11/02/2012,3492.46,3480.63,3502.64,3457.93,164.71M,0.49%
11/01/2012,3475.40,3420.48,3484.17,3413.69,112.13M,1.35%
10/31/2012,3429.27,3459.34,3484.78,3429.27,118.32M,-0.87%
10/30/2012,3459.44,3414.71,3461.97,3414.97,79.15M,1.48%
10/29/2012,3408.89,3419.38,3421.34,3394.89,101.42M,-0.76%
10/26/2012,3435.09,3384.68,3446.74,3382.36,141.18M,0.69%
10/25/2012,3411.53,3427.83,3457.30,3408.93,132.27M,-0.44%
10/24/2012,3426.49,3421.83,3433.76,3388.71,123.44M,0.59%
10/23/2012,3406.50,3485.94,3492.02,3391.30,161.42M,-2.20%
10/22/2012,3483.25,3498.38,3519.05,3475.82,134.75M,-0.61%
10/19/2012,3504.56,3527.79,3537.92,3496.76,219.41M,-0.87%
10/18/2012,3535.18,3527.76,3542.58,3508.40,184.83M,0.22%
10/17/2012,3527.50,3503.82,3530.79,3494.35,229.31M,0.76%
10/16/2012,3500.94,3443.60,3500.94,3428.97,163.75M,2.36%
10/15/2012,3420.28,3387.76,3439.52,3387.76,125.73M,0.92%
10/12/2012,3389.08,3401.26,3419.00,3389.08,173.79M,-0.72%
10/11/2012,3413.72,3352.85,3423.98,3351.44,141.01M,1.42%
10/10/2012,3365.87,3370.92,3387.38,3365.87,140.02M,-0.50%
10/09/2012,3382.78,3420.23,3427.42,3377.92,185.97M,-0.70%
10/08/2012,3406.53,3429.32,3429.86,3404.97,123.55M,-1.46%
10/05/2012,3457.04,3410.40,3461.84,3410.98,143.09M,1.64%
10/04/2012,3401.20,3422.11,3432.44,3387.48,111.08M,-0.14%
10/03/2012,3406.02,3396.79,3420.74,3387.95,118.79M,-0.24%
10/02/2012,3414.23,3411.25,3450.80,3392.37,137.53M,-0.60%
10/01/2012,3434.98,3348.07,3438.93,3348.62,161.58M,2.39%
09/28/2012,3354.82,3457.46,3459.58,3354.82,157.12M,-2.46%
09/27/2012,3439.32,3437.41,3447.46,3421.31,114.16M,0.72%
09/26/2012,3414.84,3471.74,3472.71,3414.84,163.39M,-2.82%
09/25/2012,3513.81,3490.16,3520.29,3474.09,122.94M,0.47%
09/24/2012,3497.22,3501.34,3514.07,3483.54,106.33M,-0.95%
09/21/2012,3530.72,3528.46,3540.88,3504.61,234.81M,0.59%
09/20/2012,3509.92,3501.01,3520.94,3486.36,137.68M,-0.62%
09/19/2012,3531.82,3528.67,3540.32,3503.73,155.64M,0.54%
09/18/2012,3512.69,3533.77,3538.45,3500.34,167.41M,-1.15%
09/17/2012,3553.69,3558.57,3573.98,3552.63,142.08M,-0.78%
09/14/2012,3581.58,3573.30,3588.02,3555.67,230.40M,2.27%
09/13/2012,3502.09,3540.92,3540.93,3494.11,155.26M,-1.18%
09/12/2012,3543.79,3546.19,3575.41,3525.88,212.53M,0.18%
09/11/2012,3537.30,3492.13,3537.44,3477.37,144.83M,0.89%
09/10/2012,3506.05,3513.66,3528.02,3503.48,139.08M,-0.37%
09/07/2012,3519.05,3519.65,3561.91,3515.23,242.14M,0.26%
09/06/2012,3509.88,3412.88,3509.88,3411.51,214.90M,3.06%
09/05/2012,3405.79,3399.23,3426.39,3372.80,137.87M,0.20%
09/04/2012,3399.04,3458.56,3457.65,3397.79,90.89M,-1.58%
09/03/2012,3453.71,3401.96,3453.71,3394.03,77.36M,1.19%
08/31/2012,3413.07,3377.89,3433.78,3371.74,159.81M,1.00%
08/30/2012,3379.11,3405.13,3414.04,3372.16,121.92M,-1.02%
08/29/2012,3413.89,3427.40,3434.12,3403.42,98.27M,-0.51%
08/28/2012,3431.55,3440.00,3455.66,3421.05,85.58M,-0.90%
08/27/2012,3462.83,3422.55,3462.83,3414.69,79.70M,0.86%
08/24/2012,3433.21,3432.10,3442.33,3396.81,107.57M,0.02%
08/23/2012,3432.56,3485.95,3495.80,3415.35,112.88M,-0.84%
08/22/2012,3461.65,3484.53,3500.54,3461.65,99.35M,-1.47%
08/21/2012,3513.28,3491.56,3523.85,3491.79,107.94M,0.94%
08/20/2012,3480.58,3484.47,3505.60,3458.93,114.61M,-0.22%
08/17/2012,3488.38,3491.60,3501.91,3475.39,144.55M,0.23%
08/16/2012,3480.49,3459.78,3480.49,3438.17,109.12M,0.91%
08/15/2012,3449.20,3436.30,3463.03,3424.34,61.74M,-0.03%
08/14/2012,3450.27,3444.33,3459.26,3432.15,90.55M,0.70%
08/13/2012,3426.41,3429.53,3453.57,3410.94,88.93M,-0.27%
08/10/2012,3435.62,3438.03,3442.24,3413.51,114.69M,-0.61%
08/09/2012,3456.71,3454.25,3464.29,3421.60,121.51M,0.54%
08/08/2012,3438.26,3439.12,3452.49,3420.82,131.82M,-0.43%
08/07/2012,3453.28,3400.37,3453.28,3398.59,171.33M,1.52%
08/06/2012,3401.56,3365.37,3416.31,3358.20,143.40M,0.81%
08/03/2012,3374.19,3244.60,3374.19,3238.40,178.64M,4.38%
08/02/2012,3232.46,3315.75,3374.84,3232.46,264.42M,-2.68%
08/01/2012,3321.56,3298.70,3328.50,3296.62,133.69M,0.91%
07/31/2012,3291.66,3318.84,3334.82,3291.66,166.61M,-0.87%
07/30/2012,3320.71,3299.31,3330.69,3288.75,176.84M,1.24%
07/27/2012,3280.19,3224.98,3280.19,3193.72,221.47M,2.28%
07/26/2012,3207.12,3094.91,3207.12,3071.80,271.66M,4.07%
07/25/2012,3081.74,3066.92,3113.06,3065.47,152.74M,0.23%
07/24/2012,3074.68,3114.09,3119.75,3074.68,152.29M,-0.87%
