Date,Price,Open,High,Low,Vol.,Change %
12/03/2020,13252.86,13304.83,13307.54,13223.93,64.31M,-0.45%
12/02/2020,13313.24,13341.91,13359.27,13272.47,63.82M,-0.52%
12/01/2020,13382.30,13371.66,13434.30,13334.99,66.68M,0.69%
11/30/2020,13291.16,13270.51,13445.11,13256.76,107.37M,-0.33%
11/27/2020,13335.68,13280.51,13364.17,13272.74,63.82M,0.37%
11/26/2020,13286.57,13315.21,13316.19,13274.89,42.95M,-0.02%
11/25/2020,13289.80,13346.77,13346.96,13235.82,76.83M,-0.02%
11/24/2020,13292.44,13254.42,13296.76,13192.32,82.73M,1.26%
11/23/2020,13126.97,13215.44,13312.42,13126.97,68.58M,-0.08%
11/20/2020,13137.25,13054.64,13172.91,13054.64,70.13M,0.39%
11/19/2020,13086.16,13101.71,13138.14,13034.51,68.04M,-0.88%
11/18/2020,13201.89,13086.43,13213.63,13074.67,67.64M,0.52%
11/17/2020,13133.47,13130.54,13151.02,13050.41,68.59M,-0.04%
11/16/2020,13138.61,13170.52,13277.45,13081.11,85.19M,0.47%
11/13/2020,13076.72,13036.97,13145.48,13004.82,79.17M,0.18%
11/12/2020,13052.95,13073.48,13168.09,13022.28,82.38M,-1.24%
11/11/2020,13216.18,13205.95,13244.32,13138.76,95.53M,0.40%
11/10/2020,13163.11,13109.77,13237.59,13018.43,142.55M,0.51%
11/09/2020,13095.97,12713.19,13297.05,12670.58,189.27M,4.94%
11/06/2020,12480.02,12531.74,12595.87,12370.08,80.48M,-0.70%
11/05/2020,12568.09,12420.88,12591.30,12398.59,87.08M,1.98%
11/04/2020,12324.22,11896.11,12329.96,11848.21,105.44M,1.95%
11/03/2020,12088.98,11858.81,12088.98,11851.03,86.77M,2.55%
11/02/2020,11788.28,11602.91,11838.00,11551.36,78.37M,2.01%
10/30/2020,11556.48,11472.61,11614.13,11450.08,85.60M,-0.36%
10/29/2020,11598.07,11631.07,11707.43,11458.56,104.96M,0.32%
10/28/2020,11560.51,11848.31,11852.02,11457.12,137.19M,-4.17%
10/27/2020,12063.57,12206.42,12223.60,12034.80,87.41M,-0.93%
10/26/2020,12177.18,12303.41,12404.51,12174.22,81.60M,-3.71%
10/23/2020,12645.75,12517.98,12718.27,12514.99,55.67M,0.82%
10/22/2020,12543.06,12429.41,12583.02,12345.45,59.74M,-0.12%
10/21/2020,12557.64,12764.45,12765.05,12545.59,62.62M,-1.41%
10/20/2020,12736.95,12819.15,12850.29,12725.45,61.47M,-0.92%
10/19/2020,12854.66,12948.63,13028.73,12820.26,48.58M,-0.42%
10/16/2020,12908.99,12773.35,12955.86,12733.06,76.57M,1.62%
10/15/2020,12703.75,12826.13,12839.55,12599.82,78.93M,-2.49%
10/14/2020,13028.06,13012.69,13066.44,12975.12,52.93M,0.07%
10/13/2020,13018.99,13132.90,13132.90,12959.70,52.84M,-0.91%
10/12/2020,13138.41,13086.06,13151.80,13058.34,48.91M,0.67%
10/09/2020,13051.23,13070.04,13096.44,13009.98,58.95M,0.07%
10/08/2020,13042.21,13011.23,13100.85,12956.64,64.01M,0.88%
10/07/2020,12928.57,12901.29,12959.02,12837.11,65.53M,0.17%
10/06/2020,12906.02,12858.97,12966.09,12779.65,60.57M,0.61%
10/05/2020,12828.31,12824.05,12842.48,12727.75,56.73M,1.10%
10/02/2020,12689.04,12558.78,12690.25,12539.86,67.30M,-0.33%
10/01/2020,12730.77,12812.08,12836.65,12671.23,87.11M,-0.23%
09/30/2020,12760.73,12754.77,12869.96,12698.42,70.30M,-0.51%
09/29/2020,12825.82,12817.79,12859.14,12738.30,49.84M,-0.35%
09/28/2020,12870.87,12673.73,12873.40,12660.15,72.43M,3.22%
09/25/2020,12469.20,12615.91,12622.77,12341.58,66.13M,-1.09%
09/24/2020,12606.57,12520.47,12684.80,12512.50,61.27M,-0.29%
09/23/2020,12642.97,12737.32,12830.70,12642.97,60.25M,0.39%
09/22/2020,12594.39,12629.71,12698.12,12592.97,69.46M,0.41%
09/21/2020,12542.44,12998.90,12998.90,12505.16,119.64M,-4.37%
09/18/2020,13116.25,13210.86,13263.44,13116.25,185.86M,-0.70%
09/17/2020,13208.12,13060.18,13245.87,13035.94,55.92M,-0.36%
09/16/2020,13255.37,13224.16,13277.23,13181.56,62.42M,0.29%
09/15/2020,13217.67,13220.81,13262.81,13138.20,60.48M,0.18%
09/14/2020,13193.66,13329.61,13339.14,13159.72,49.24M,-0.07%
09/11/2020,13202.84,13198.74,13255.47,13117.46,57.03M,-0.05%
09/10/2020,13208.89,13265.51,13297.71,13161.93,56.81M,-0.21%
09/09/2020,13237.21,12990.52,13257.54,12973.46,73.66M,2.07%
09/08/2020,12968.33,13126.23,13147.52,12856.55,72.30M,-1.01%
09/07/2020,13100.28,12931.40,13117.61,12920.92,54.82M,2.01%
09/04/2020,12842.66,12916.12,13127.08,12753.69,94.28M,-1.65%
09/03/2020,13057.77,13354.72,13460.46,13004.83,81.70M,-1.40%
09/02/2020,13243.43,13071.66,13303.17,13062.17,80.77M,2.07%
09/01/2020,12974.25,13037.20,13127.28,12850.30,63.05M,0.22%
08/31/2020,12945.38,13103.93,13148.19,12923.76,59.56M,-0.67%
08/28/2020,13033.20,13140.60,13147.24,12951.26,63.77M,-0.48%
08/27/2020,13096.36,13206.58,13218.05,13087.37,53.03M,-0.71%
08/26/2020,13190.15,13041.83,13192.32,13010.53,46.70M,0.98%
08/25/2020,13061.62,13136.77,13221.82,13060.87,55.97M,-0.04%
08/24/2020,13066.54,12945.97,13104.31,12924.70,64.18M,2.36%
08/21/2020,12764.80,12879.45,12911.27,12633.71,72.00M,-0.51%
08/20/2020,12830.00,12829.39,12891.14,12755.52,54.74M,-1.14%
08/19/2020,12977.33,12838.63,12980.70,12833.80,52.63M,0.74%
08/18/2020,12881.76,12836.87,13052.84,12807.00,56.72M,-0.30%
08/17/2020,12920.66,12924.88,12960.84,12847.85,44.40M,0.15%
08/14/2020,12901.34,12965.22,12971.08,12797.52,54.99M,-0.71%
08/13/2020,12993.71,13044.47,13075.25,12956.30,60.06M,-0.50%
08/12/2020,13058.63,12917.34,13101.12,12879.11,62.44M,0.86%
08/11/2020,12946.89,12806.97,13046.13,12802.06,77.57M,2.04%
08/10/2020,12687.53,12729.10,12753.12,12605.82,49.57M,0.10%
08/07/2020,12674.88,12634.79,12691.66,12517.44,57.76M,0.66%
08/06/2020,12591.68,12664.55,12799.21,12519.85,67.70M,-0.54%
08/05/2020,12660.25,12667.12,12757.03,12632.99,67.96M,0.47%
08/04/2020,12600.87,12744.13,12768.58,12528.07,65.61M,-0.36%
08/03/2020,12646.98,12374.46,12698.56,12365.61,73.27M,2.71%
07/31/2020,12313.36,12403.10,12524.75,12313.36,81.41M,-0.54%
07/30/2020,12379.65,12762.12,12768.71,12253.92,103.74M,-3.45%
07/29/2020,12822.26,12819.63,12864.39,12789.97,70.23M,-0.10%
07/28/2020,12835.28,12886.23,12936.01,12746.46,58.13M,-0.03%
07/27/2020,12838.66,12865.75,12908.66,12811.44,60.60M,0.00%
07/24/2020,12838.06,12919.31,12935.50,12812.02,63.78M,-2.02%
07/23/2020,13103.39,13183.50,13217.73,13072.82,64.54M,-0.01%
07/22/2020,13104.25,13165.29,13197.92,13067.06,68.19M,-0.51%
07/21/2020,13171.83,13194.93,13313.90,13147.30,92.17M,0.96%
07/20/2020,13046.92,12898.11,13063.69,12811.72,59.66M,0.99%
07/17/2020,12919.61,12915.27,12954.25,12870.27,75.18M,0.35%
07/16/2020,12874.97,12857.30,12919.23,12805.47,68.01M,-0.43%
07/15/2020,12930.98,12812.11,12999.84,12773.44,78.62M,1.84%
07/14/2020,12697.36,12642.23,12697.91,12535.90,76.74M,-0.80%
07/13/2020,12799.97,12817.19,12836.41,12688.94,72.52M,1.32%
07/10/2020,12633.71,12442.22,12649.99,12416.69,72.73M,1.15%
07/09/2020,12489.46,12639.17,12709.68,12459.16,76.14M,-0.04%
07/08/2020,12494.81,12542.58,12670.19,12463.22,74.36M,-0.97%
07/07/2020,12616.80,12660.09,12661.12,12525.18,78.79M,-0.92%
07/06/2020,12733.45,12774.77,12842.59,12655.21,78.19M,1.64%
07/03/2020,12528.18,12644.60,12649.98,12476.13,54.01M,-0.64%
07/02/2020,12608.46,12378.80,12658.17,12370.72,103.86M,2.84%
07/01/2020,12260.57,12391.72,12391.72,12095.11,81.13M,-0.41%
06/30/2020,12310.93,12287.94,12350.35,12188.09,124.63M,0.64%
06/29/2020,12232.12,12090.41,12297.68,12045.26,121.31M,1.18%
06/26/2020,12089.39,12308.48,12347.45,12060.89,111.97M,-0.73%
06/25/2020,12177.87,12102.25,12236.46,11957.31,128.25M,0.69%
06/24/2020,12093.94,12459.81,12489.24,12093.94,102.78M,-3.43%
06/23/2020,12523.76,12360.09,12616.12,12332.10,113.42M,2.13%
06/22/2020,12262.97,12194.48,12399.37,12172.12,91.98M,-0.55%
06/19/2020,12330.76,12375.18,12447.15,12319.19,227.98M,0.40%
06/18/2020,12281.53,12347.49,12483.84,12189.67,154.82M,-0.81%
06/17/2020,12382.14,12312.44,12432.23,12288.17,102.04M,0.54%
06/16/2020,12315.66,12168.37,12434.27,12132.80,122.78M,3.39%
06/15/2020,11911.35,11661.36,11968.06,11597.82,99.88M,-0.32%
06/12/2020,11949.28,11876.34,12172.63,11828.66,118.02M,-0.18%
06/11/2020,11970.29,12223.42,12301.95,11970.29,133.28M,-4.47%
06/10/2020,12530.16,12719.15,12763.89,12471.06,112.49M,-0.70%
06/09/2020,12617.99,12859.83,12864.91,12502.45,145.98M,-1.57%
06/08/2020,12819.59,12722.68,12913.13,12670.95,140.37M,-0.22%
06/05/2020,12847.68,12565.16,12858.79,12560.19,168.93M,3.36%
06/04/2020,12430.56,12390.03,12558.24,12326.44,138.86M,-0.45%
06/03/2020,12487.36,12147.12,12507.41,12133.70,152.04M,3.88%
06/02/2020,12021.28,11896.70,12055.57,11850.34,143.10M,3.75%
05/29/2020,11586.85,11649.37,11729.98,11575.74,170.60M,-1.65%
05/28/2020,11781.13,11746.78,11813.14,11654.83,124.13M,1.06%
05/27/2020,11657.69,11530.20,11747.20,11519.77,168.97M,1.33%
05/26/2020,11504.65,11488.99,11544.35,11429.88,124.58M,1.00%
05/25/2020,11391.28,11186.04,11391.28,11118.12,72.13M,2.87%
05/22/2020,11073.87,10896.28,11138.15,10867.17,86.15M,0.07%
05/21/2020,11065.93,11088.12,11194.92,11036.91,73.57M,-1.41%
05/20/2020,11223.71,11029.33,11246.91,10978.57,98.83M,1.34%
05/19/2020,11075.29,11200.92,11201.18,10936.07,125.54M,0.15%
05/18/2020,11058.87,10683.86,11089.50,10677.52,118.99M,5.67%
05/15/2020,10465.17,10470.85,10547.19,10382.54,116.08M,1.24%
05/14/2020,10337.02,10418.04,10474.08,10160.89,133.62M,-1.95%
05/13/2020,10542.66,10669.99,10698.13,10530.32,108.74M,-2.56%
05/12/2020,10819.50,10777.74,10886.01,10772.58,88.86M,-0.05%
05/11/2020,10824.99,10948.24,10986.22,10740.82,88.08M,-0.73%
05/08/2020,10904.48,10882.44,10918.32,10819.07,81.80M,1.35%
05/07/2020,10759.27,10640.77,10761.86,10617.23,102.15M,1.44%
05/06/2020,10606.20,10716.51,10773.86,10598.90,94.91M,-1.15%
05/05/2020,10729.46,10627.07,10736.95,10518.94,103.77M,2.51%
05/04/2020,10466.80,10543.36,10578.43,10426.06,140.42M,-3.64%
04/30/2020,10861.64,11195.21,11235.57,10839.30,162.73M,-2.22%
04/29/2020,11107.74,10812.74,11125.35,10789.52,145.35M,2.89%
